sample_name	Sample_or_Control	UCSD_split	birthplace	orig_seqrunid	date_startcollection	cohort	mouse_line	site_line	house_siteline	house_siteline_split_UCSD_Jax	house_siteline_UCSDJax	house_siteline_bcmJAX	dob	host_age	host_age_units	parity	cage	submission_date	group_study	representation	body_site	collection_method	line_site	origmouse_name	mouse_origid	estrous_stage	Prog_high	Prog_transition	Prog_mix	Estrogen_hi	esMM	esKP	esSO	tp_days	treatment	swabGBS_CFU	VTGBS_CFU	CGBS_CFU	UGBS_CFU	VS_clearD1	VS_clearD3	VS_clearD7	Uterine_clearance	toMedian1002000	study_topic	institution	vivarium	room	host_body_habitat	host_body_product	host_body_site	host_common_name	host_life_stage	host_scientific_name	CST	CST_real_33_77	CST_char	Longitudinal_basleine	GBS_study	FPVS	estrous
HMBd0m04	True Sample	none	BCM	PatrasHMBd0m04	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	1	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB04a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	P	di	0	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	7	3	III-a		None	none	estrous_staging
HMBd0m05	True Sample	none	BCM	PatrasHMBd0m05	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	2	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB05a	diestrus	ProgHi	ProLoTransition	mix2	none	diestrus	D	met	0	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	6	7	III-b		None	none	estrous_staging
HMBd0m06	True Sample	none	BCM	PatrasHMBd0m06	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	2	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB06a	diestrus	ProgHi	ProLoTransition	mix2	none	diestrus	D	met	0	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	6	7	III-b		None	none	estrous_staging
HMBd0m07	True Sample	none	BCM	PatrasHMBd0m07	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	2	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB07a	diestrus	ProgHi	ProLoTransition	mix2	none	diestrus	P	met	0	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	6	7	III-b		None	none	estrous_staging
HMBd0m08	True Sample	none	BCM	PatrasHMBd0m08	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	2	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB08a	diestrus	ProgHi	ProLoTransition	mix2	none	diestrus	D	e	0	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	6	7	III-b		None	none	estrous_staging
HMBd0m09	True Sample	none	BCM	PatrasHMBd0m09	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	3	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB09a	diestrus	ProgHi	ProLoTransition	mix2	none	proestrus	D	met	0	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	5	6	VI		None	none	estrous_staging
HMBd0m10	True Sample	none	BCM	PatrasHMBd0m10	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	3	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB10a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	diestrus	P	met	0	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	6	7	III-b		None	none	estrous_staging
HMBd0m11	True Sample	none	BCM	PatrasHMBd0m11	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	3	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB11a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	estrus	P	di/pro	0	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	6	7	III-b		None	none	estrous_staging
HMBd0m12	True Sample	none	BCM	PatrasHMBd0m12	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	3	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB12a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	estrus	P	pro	0	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	6	7	III-b		None	none	estrous_staging
HMBd0m13	True Sample	none	BCM	PatrasHMBd0m13	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	3	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB13a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	E	pro/e	0	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	7	3	III-a		None	none	estrous_staging
HMBd0m14	True Sample	none	BCM	PatrasHMBd0m14	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	7/8/21	4.142857143	weeks	nulliparous	4	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC3566	HMB14a	diestrus	ProgHi	ProLoTransition	mix2	none	diestrus	D	met	0	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	3	4	IV		None	none	estrous_staging
HMBd0m15	True Sample	none	BCM	PatrasHMBd0m15	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	7/8/21	4.142857143	weeks	nulliparous	4	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC3567	HMB15a	diestrus	ProgHi	ProLoTransition	mix2	none	diestrus	D	met	0	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	2	1	I		None	none	estrous_staging
HMBd0m16	True Sample	none	BCM	PatrasHMBd0m16	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	7/9/21	4	weeks	nulliparous	4	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC3571	HMB16a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	D	pro	0	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	6	7	III-b		None	none	estrous_staging
HMBd0m17	True Sample	none	BCM	PatrasHMBd0m17	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	5	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB17a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	estrus	P	pro	0	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	7	3	III-a		None	none	estrous_staging
HMBd0m18	True Sample	none	BCM	PatrasHMBd0m18	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	5	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB18a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	diestrus	M	e/met	0	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	6	7	III-b		None	none	estrous_staging
HMBd0m19	True Sample	none	BCM	PatrasHMBd0m19	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	6/16/21	7.285714286	weeks	nulliparous	6	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC3506	HMB19a	diestrus	ProgHi	ProLoTransition	mix2	none	proestrus	D	met	0	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	6	7	III-b		None	none	estrous_staging
HMBd0m20	True Sample	none	BCM	PatrasHMBd0m20	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	6/16/21	7.285714286	weeks	nulliparous	6	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC3507	HMB20a	metestrus	ProgHi	ProgHiTransition	mix1	none	proestrus	M	met	0	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	6	7	III-b		None	none	estrous_staging
HMBd0m21	True Sample	none	BCM	PatrasHMBd0m21	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	6/16/21	7.285714286	weeks	nulliparous	6	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC3508	HMB21a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	estrus	M	pro/e	0	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	1	5	V		None	none	estrous_staging
HMBd1m04	True Sample	none	BCM	PatrasHMBd1m04	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	1	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB04a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	estrus	P	di/pro	1	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	7	3	III-a		None	none	estrous_staging
HMBd1m10	True Sample	none	BCM	PatrasHMBd1m10	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	3	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB10a	estrus	ProLo	ProgHiTransition	mix2	none	estrus	E	pro/e	1	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	3	4	IV		None	none	estrous_staging
HMBd1m13	True Sample	none	BCM	PatrasHMBd1m13	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	3	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB13a	estrus	ProLo	ProgHiTransition	mix2	none	estrus	M	e	1	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	7	3	III-a		None	none	estrous_staging
HMBd1m17	True Sample	none	BCM	PatrasHMBd1m17	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	5	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB17a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	diestrus	P	pro	1	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	7	3	III-a		None	none	estrous_staging
HMBd1m21	True Sample	none	BCM	PatrasHMBd1m21	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	6/16/21	7.285714286	weeks	nulliparous	6	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC3508	HMB21a	diestrus	ProgHi	ProLoTransition	mix2	none	proestrus	D	e/met	1	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	1	5	V		None	none	estrous_staging
HMBd2m04	True Sample	none	BCM	PatrasHMBd2m04	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	1	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB04a	estrus	ProLo	ProgHiTransition	mix2	none	estrus	E	pro	2	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	7	3	III-a		None	none	estrous_staging
HMBd2m10	True Sample	none	BCM	PatrasHMBd2m10	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	3	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB10a	metestrus	ProgHi	ProgHiTransition	mix1	none	diestrus	M	met	2	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	2	1	I		None	none	estrous_staging
HMBd2m13	True Sample	none	BCM	PatrasHMBd2m13	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	3	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB13a	diestrus	ProgHi	ProLoTransition	mix2	none	diestrus	D	met	2	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	2	1	I		None	none	estrous_staging
HMBd2m17	True Sample	none	BCM	PatrasHMBd2m17	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	5	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB17a	estrus	ProLo	ProgHiTransition	mix2	none	estrus	M	e	2	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	7	3	III-a		None	none	estrous_staging
HMBd2m21	True Sample	none	BCM	PatrasHMBd2m21	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	6/16/21	7.285714286	weeks	nulliparous	6	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC3508	HMB21a	metestrus	ProgHi	ProgHiTransition	mix1	none	metestrus	M	met	2	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	1	5	V		None	none	estrous_staging
HMBd3m01	True Sample	none	BCM	PatrasHMBd3m01	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	1	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB01a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	diestrus	P	met	3	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	2	1	I		None	none	estrous_staging
HMBd3m02	True Sample	none	BCM	PatrasHMBd3m02	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	1	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB02a	metestrus	ProgHi	ProgHiTransition	mix1	none	metestrus	M	di/pro	3	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	2	1	I		None	none	estrous_staging
HMBd3m03	True Sample	none	BCM	PatrasHMBd3m03	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	1	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB03a	estrus	ProLo	ProgHiTransition	mix2	none	estrus	E	pro/e	3	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	7	3	III-a		None	none	estrous_staging
HMBd3m04	True Sample	none	BCM	PatrasHMBd3m04	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	1	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB04a	metestrus	ProgHi	ProgHiTransition	mix1	none	diestrus	M	met	3	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	2	1	I		None	none	estrous_staging
HMBd3m05	True Sample	none	BCM	PatrasHMBd3m05	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	2	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB05a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	? Bacteria	di	3	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	2	1	I		None	none	estrous_staging
HMBd3m06	True Sample	none	BCM	PatrasHMBd3m06	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	2	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB06a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	diestrus	P	pro	3	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	6	7	III-b		None	none	estrous_staging
HMBd3m07	True Sample	none	BCM	PatrasHMBd3m07	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	2	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB07a	metestrus	ProgHi	ProgHiTransition	mix1	none	proestrus	M	met	3	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	1	5	V		None	none	estrous_staging
HMBd3m08	True Sample	none	BCM	PatrasHMBd3m08	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	2	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB08a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	diestrus	P	pro	3	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	2	1	I		None	none	estrous_staging
HMBd3m09	True Sample	none	BCM	PatrasHMBd3m09	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	3	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB09a	metestrus	ProgHi	ProgHiTransition	mix1	none	metestrus	M	pro/e	3	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	2	1	I		None	none	estrous_staging
HMBd3m10	True Sample	none	BCM	PatrasHMBd3m10	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	3	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB10a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	D	met	3	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	2	1	I		None	none	estrous_staging
HMBd3m11	True Sample	none	BCM	PatrasHMBd3m11	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	3	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB11a	metestrus	ProgHi	ProgHiTransition	mix1	none	metestrus	M	pro	3	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	2	1	I		None	none	estrous_staging
HMBd3m12	True Sample	none	BCM	PatrasHMBd3m12	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	3	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB12a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	? Bacteria	pro	3	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	2	1	I		None	none	estrous_staging
HMBd3m13	True Sample	none	BCM	PatrasHMBd3m13	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	3	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB13a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	P	di/pro	3	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	2	1	I		None	none	estrous_staging
HMBd3m14	True Sample	none	BCM	PatrasHMBd3m14	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	7/8/21	4.142857143	weeks	nulliparous	4	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC3566	HMB14a	diestrus	ProgHi	ProLoTransition	mix2	none	diestrus	M	pro	3	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	2	1	I		None	none	estrous_staging
HMBd3m15	True Sample	none	BCM	PatrasHMBd3m15	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	7/8/21	4.142857143	weeks	nulliparous	4	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC3567	HMB15a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	diestrus	? Bacteria	pro	3	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	2	1	I		None	none	estrous_staging
HMBd3m16	True Sample	none	BCM	PatrasHMBd3m16	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	7/9/21	4	weeks	nulliparous	4	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC3571	HMB16a	diestrus	ProgHi	ProLoTransition	mix2	none	diestrus	M	di	3	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	2	1	I		None	none	estrous_staging
HMBd3m17	True Sample	none	BCM	PatrasHMBd3m17	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	5	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB17a	metestrus	ProgHi	ProgHiTransition	mix1	none	metestrus	D	met	3	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	7	3	III-a		None	none	estrous_staging
HMBd3m18	True Sample	none	BCM	PatrasHMBd3m18	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB		6344.857143	weeks	nulliparous	5	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB18a	diestrus	ProgHi	ProLoTransition	mix2	none	diestrus	D	di	3	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	2	1	I		None	none	estrous_staging
HMBd3m19	True Sample	none	BCM	PatrasHMBd3m19	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	6/16/21	7.285714286	weeks	nulliparous	6	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC3506	HMB19a	diestrus	ProgHi	ProLoTransition	mix2	none	diestrus	P	di	3	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	2	1	I		None	none	estrous_staging
HMBd3m20	True Sample	none	BCM	PatrasHMBd3m20	8/6/21	2021Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	6/16/21	7.285714286	weeks	nulliparous	6	October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC3507	HMB20a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	P	pro/e	3	None										HMBestrous_staging	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	2	1	I		None	none	estrous_staging
