sample_name	birthplace	orig_seqrunid	date_startcollection	cohort	orig_tube	mouse_line	site_line	dob	host_age	host_age_units	breedpair	parity	cage	collection_sequence	collection_date	extraction_date	submission_date	group_study	representation	body_site	collection_method	line_site	origmouse_name	mouse_id	estrous_stage	Prog_high	Prog_transition	Prog_mix	Estrogen_hi	esMM	esKP	esSO	tp_days	treatment	swabGBS_CFU	VTGBS_CFU	CGBS_CFU	UGBS_CFU	VS_clearD1	VS_clearD2	VS_clearD3	VS_clearD4	VS_clearD5	VS_clearD6	VS_clearD7	Uterine_clearance	toMedian1002000	study_topic	institution	vivarium	room	host_body_habitat	host_body_product	host_body_site	host_common_name	host_life_stage	host_scientific_name	plate_position	CST	CST_categorical
HMBd4m17	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB17a	diestrus	ProgHi	ProLoTransition	mix2	none	proestrus	D	di	4	None														HMBestrous_staging		BCM_Taub									1	I
HMBd4m21	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB21a	diestrus	ProgHi	ProLoTransition	mix2	none	diestrus	D	di	4	None														HMBestrous_staging		BCM_Taub									3	III
HMBd5m04	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB04a	diestrus	ProgHi	ProLoTransition	mix2	none	proestrus	D	di	5	None														HMBestrous_staging		BCM_Taub									1	I
HMBd5m10	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB10a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	estrus	P	pro	5	None														HMBestrous_staging		BCM_Taub									3	III
HMBd5m13	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB13a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	estrus	P	pro	5	None														HMBestrous_staging		BCM_Taub									1	I
HMBd5m17	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB17a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	D	di/pro	5	None														HMBestrous_staging		BCM_Taub									3	III
HMBd5m21	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB21a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	P	di/pro	5	None														HMBestrous_staging		BCM_Taub									1	I
HMBd6m01	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB01a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	P	di	6	None														HMBestrous_staging		BCM_Taub									3	III
HMBd6m02	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB02a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	diestrus	P	pro	6	None														HMBestrous_staging		BCM_Taub									3	III
HMBd6m03	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB03a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	P	pro	6	None														HMBestrous_staging		BCM_Taub									3	III
HMBd6m04	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB04a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	P	di/pro	6	None														HMBestrous_staging		BCM_Taub									1	I
HMBd6m05	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB05a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	P?	pro	6	None														HMBestrous_staging		BCM_Taub									1	I
HMBd6m06	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB06a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	P	pro	6	None														HMBestrous_staging		BCM_Taub									1	I
HMBd6m07	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB07a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	estrus	P	pro	6	None														HMBestrous_staging		BCM_Taub									2	II
HMBd6m08	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB08a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	P	met	6	None														HMBestrous_staging		BCM_Taub									1	I
HMBd6m09	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB09a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	P	pro	6	None														HMBestrous_staging		BCM_Taub									1	I
HMBd6m10	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB10a	estrus	ProLo	ProgHiTransition	mix2	none	estrus	P	e	6	None														HMBestrous_staging		BCM_Taub									1	I
HMBd6m11	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB11a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	diestrus	P	di/pro	6	None														HMBestrous_staging		BCM_Taub									1	I
HMBd6m12	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB12a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	diestrus	?	pro/e	6	None														HMBestrous_staging		BCM_Taub									1	I
HMBd6m13	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB13a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	P	pro/e	6	None														HMBestrous_staging		BCM_Taub									2	II
HMBd6m14	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB14a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	?	di	6	None														HMBestrous_staging		BCM_Taub									1	I
HMBd6m15	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB15a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	?	di	6	None														HMBestrous_staging		BCM_Taub									1	I
HMBd6m16	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB16a	diestrus	ProgHi	ProLoTransition	mix2	none	diestrus	D	di	6	None														HMBestrous_staging		BCM_Taub									1	I
HMBd6m17	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB17a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	estrus	P	pro	6	None														HMBestrous_staging		BCM_Taub									1	I
HMBd6m18	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB18a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	estrus	P	pro	6	None														HMBestrous_staging		BCM_Taub									1	I
HMBd6m19	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB19a	diestrus	ProgHi	ProLoTransition	mix2	none	diestrus	D	met	6	None														HMBestrous_staging		BCM_Taub									1	I
HMBd6m20	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB20a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	E	pro	6	None														HMBestrous_staging		BCM_Taub									2	II
HMBd6m21	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB21a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	P	pro	6	None														HMBestrous_staging		BCM_Taub									1	I
HMBd6m22	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB22a	diestrus	ProgHi	ProLoTransition	mix2	none	proestrus	D?	di	6	None														HMBestrous_staging		BCM_Taub									1	I
HMBd6m23	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB23a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	P	pro	6	None														HMBestrous_staging		BCM_Taub									1	I
HMBpt2d0m01	BCM		2/1/22	2022FebA		HMB	BCM_HMB		6370.428571								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB01b	diestrus	ProgHi	ProLoTransition	mix2	none	diestrus	P	di	0	None														HMBestrous_staging		BCM_TMF									2	II
HMBpt2d0m02	BCM		2/1/22	2022FebA		HMB	BCM_HMB		6370.428571								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB02b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	P	pro/e	0	None														HMBestrous_staging		BCM_TMF									4	IV
HMBpt2d0m03	BCM		2/1/22	2022FebA		HMB	BCM_HMB		6370.428571								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB03b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	P	pro/e	0	None														HMBestrous_staging		BCM_TMF									4	IV
HMBpt2d0m04	BCM		2/1/22	2022FebA		HMB	BCM_HMB		6370.428571								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB04b	diestrus	ProgHi	ProLoTransition	mix2	none	proestrus	D	di	0	None														HMBestrous_staging		BCM_TMF									4	IV
HMBpt2d0m05	BCM		2/1/22	2022FebA		HMB	BCM_HMB		6370.428571								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB05b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	P	pr	0	None														HMBestrous_staging		BCM_TMF									3	III
HMBpt2d0m06	BCM		2/1/22	2022FebA		HMB	BCM_HMB		6370.428571								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB06b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	D	pro/e	0	None														HMBestrous_staging		BCM_TMF									4	IV
HMBpt2d0m08	BCM		2/1/22	2022FebA		HMB	BCM_HMB		6370.428571								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB08b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	P	pro	0	None														HMBestrous_staging		BCM_TMF									4	IV
HMBpt2d0m09	BCM		2/1/22	2022FebA		HMB	BCM_HMB		6370.428571								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB09b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	P	pro/e	0	None														HMBestrous_staging		BCM_TMF									5	V
HMBpt2d0m10	BCM		2/1/22	2022FebA		HMB	BCM_HMB		6370.428571								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB10b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	P	pro	0	None														HMBestrous_staging		BCM_TMF									4	IV
HMBpt2d0m11	BCM		2/1/22	2022FebA		HMB	BCM_HMB		6370.428571								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB11b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	P	pro	0	None														HMBestrous_staging		BCM_TMF									4	IV
HMBpt2d0m12	BCM		2/1/22	2022FebA		HMB	BCM_HMB		6370.428571								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB12b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	P	pro (maybe pro/e)	0	None														HMBestrous_staging		BCM_TMF									4	IV
HMBpt2d0m13	BCM		2/1/22	2022FebA		HMB	BCM_HMB		6370.428571								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB13b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	P	pro/e	0	None														HMBestrous_staging		BCM_TMF									4	IV
HMBpt2d3m01	BCM		2/4/22	2022FebA		HMB	BCM_HMB		6370.857143								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB01b	diestrus	ProgHi	ProLoTransition	mix2	none	estrus	E	pro	3	None														HMBestrous_staging		BCM_Taub									2	II
HMBpt2d3m02	BCM		2/4/22	2022FebA		HMB	BCM_HMB		6370.857143								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB02b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	P	di/pro	3	None														HMBestrous_staging		BCM_Taub									5	V
HMBpt2d3m03	BCM		2/4/22	2022FebA		HMB	BCM_HMB		6370.857143								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB03b	metestrus	ProgHi	ProgHiTransition	mix1	none	metestrus	M	met	3	None														HMBestrous_staging		BCM_Taub									5	V
HMBpt2d3m04	BCM		2/4/22	2022FebA		HMB	BCM_HMB		6370.857143								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB04b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	P	di/pro	3	None														HMBestrous_staging		BCM_Taub									4	IV
HMBpt2d3m06	BCM		2/4/22	2022FebA		HMB	BCM_HMB		6370.857143								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB06b	estrus	ProLo	ProgHiTransition	mix2	none	estrus	E	pro/e	3	None														HMBestrous_staging		BCM_Taub									3	III
HMBpt2d3m08	BCM		2/4/22	2022FebA		HMB	BCM_HMB		6370.857143								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB08b	metestrus	ProgHi	ProgHiTransition	mix1	none	metestrus	D	met	3	None														HMBestrous_staging		BCM_Taub									4	IV
HMBpt2d3m09	BCM		2/4/22	2022FebA		HMB	BCM_HMB		6370.857143								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB09b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	diestrus	P	di/pro	3	None														HMBestrous_staging		BCM_Taub									5	V
HMBpt2d3m10	BCM		2/4/22	2022FebA		HMB	BCM_HMB		6370.857143								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB10b	diestrus	ProgHi	ProLoTransition	mix2	none	diestrus	D	di	3	None														HMBestrous_staging		BCM_Taub									4	IV
HMBpt2d3m11	BCM		2/4/22	2022FebA		HMB	BCM_HMB		6370.857143								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB11b	diestrus	ProgHi	ProLoTransition	mix2	none	diestrus	D	met	3	None														HMBestrous_staging		BCM_Taub									4	IV
HMBpt2d3m12	BCM		2/4/22	2022FebA		HMB	BCM_HMB		6370.857143								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB12b	diestrus	ProgHi	ProLoTransition	mix2	none	diestrus	D	di	3	None														HMBestrous_staging		BCM_Taub									3	III
HMBpt2d3m13	BCM		2/4/22	2022FebA		HMB	BCM_HMB		6370.857143								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB13b	metestrus	ProgHi	ProgHiTransition	mix1	none	metestrus	M	met	3	None														HMBestrous_staging		BCM_Taub									5	V
HMBpt2d6m01	BCM		2/7/22	2022FebA		HMB	BCM_HMB		6371.285714								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB01b	metestrus	ProgHi	ProgHiTransition	mix1	none	metestrus	D	met	6	None														HMBestrous_staging		BCM_Taub									2	II
HMBpt2d6m02	BCM		2/7/22	2022FebA		HMB	BCM_HMB		6371.285714								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB02b	estrus	ProLo	ProgHiTransition	mix2	none	estrus	E	pro/e	6	None														HMBestrous_staging		BCM_Taub									2	II
HMBpt2d6m03	BCM		2/7/22	2022FebA		HMB	BCM_HMB		6371.285714								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB03b	diestrus	ProgHi	ProLoTransition	mix2	none	diestrus	P	di	6	None														HMBestrous_staging		BCM_Taub									4	IV
HMBpt2d6m04	BCM		2/7/22	2022FebA		HMB	BCM_HMB		6371.285714								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB04b	metestrus	ProgHi	ProgHiTransition	mix1	none	metestrus	M	met	6	None														HMBestrous_staging		BCM_Taub									5	V
HMBpt2d6m05	BCM		2/7/22	2022FebA		HMB	BCM_HMB		6371.285714								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB05b	metestrus	ProgHi	ProgHiTransition	mix1	none	estrus	P	met	6	None														HMBestrous_staging		BCM_Taub									3	III
HMBpt2d6m06	BCM		2/7/22	2022FebA		HMB	BCM_HMB		6371.285714								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB06b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	estrus	P	pro	6	None														HMBestrous_staging		BCM_Taub									5	V
HMBpt2d6m08	BCM		2/7/22	2022FebA		HMB	BCM_HMB		6371.285714								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB08b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	P	pro	6	None														HMBestrous_staging		BCM_Taub									2	II
HMBpt2d6m09	BCM		2/7/22	2022FebA		HMB	BCM_HMB		6371.285714								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB09b	diestrus	ProgHi	ProLoTransition	mix2	none	diestrus	D	met	6	None														HMBestrous_staging		BCM_Taub									4	IV
HMBpt2d6m10	BCM		2/7/22	2022FebA		HMB	BCM_HMB		6371.285714								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB10b	metestrus	ProgHi	ProgHiTransition	mix1	none	metestrus	D	met	6	None														HMBestrous_staging		BCM_Taub									3	III
HMBpt2d6m11	BCM		2/7/22	2022FebA		HMB	BCM_HMB		6371.285714								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB11b	estrus	ProLo	ProgHiTransition	mix2	none	estrus	E	pro	6	None														HMBestrous_staging		BCM_Taub									5	V
HMBpt2d6m12	BCM		2/7/22	2022FebA		HMB	BCM_HMB		6371.285714								March152022	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB12b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	P	pro	6	None														HMBestrous_staging		BCM_Taub									4	IV
HMBpt2Blank	BCM			2022FebA													March152022	e	blank	blank	PBS swab	blank_blank												None														HMBestrous_staging		BCM_Taub									none	none
KitBlank	BCM			2022FebB													March152022	f	blank	blank	kit blank	blank_blank												None														HMB_GBSchallenge		BCM_Taub									none	none
01GBSd0	BCM		2/9/22	2022FebB		HMB	BCM_HMB		6371.571429								March152022	f	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC3714	01b									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									2	II
02GBSd0	BCM		2/9/22	2022FebB		HMB	BCM_HMB		6371.571429								March152022	f	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC3715	02b									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									2	II
03GBSd0	BCM		2/9/22	2022FebB		HMB	BCM_HMB		6371.571429								March152022	f	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC3716	03b									0	GBS												Clear		HMB_GBSchallenge		BCM_Taub									4	IV
04GBSd0	BCM		2/9/22	2022FebB		HMB	BCM_HMB		6371.571429								March152022	f	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC3721	04b									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									4	IV
05GBSd0	BCM		2/9/22	2022FebB		HMB	BCM_HMB		6371.571429								March152022	f	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC3722	05b									0	GBS												Clear		HMB_GBSchallenge		BCM_Taub									3	III
06GBSd0	BCM		2/9/22	2022FebB		HMB	BCM_HMB		6371.571429								March152022	f	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC3723	06b									0	GBS												Clear		HMB_GBSchallenge		BCM_Taub									5	V
07GBSd0	BCM		2/9/22	2022FebB		HMB	BCM_HMB		6371.571429								March152022	f	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC3733	07b									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									4	IV
08GBSd0	BCM		2/9/22	2022FebB		HMB	BCM_HMB		6371.571429								March152022	f	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC3734	08b									0	GBS												Clear		HMB_GBSchallenge		BCM_Taub									2	II
09GBSd0	BCM		2/9/22	2022FebB		HMB	BCM_HMB		6371.571429								March152022	f	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC3741	09b									0	GBS												Clear		HMB_GBSchallenge		BCM_Taub									4	IV
10GBSd0	BCM		2/9/22	2022FebB		HMB	BCM_HMB		6371.571429								March152022	f	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC3745	10b									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									4	IV
11GBSd0	BCM		2/9/22	2022FebB		HMB	BCM_HMB		6371.571429								March152022	f	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC3749	11b									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									5	V
13GBSd0	BCM		2/9/22	2022FebB		HVM	BCM_HVM		6371.571429								March152022	f	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		13b									0	GBS														HMB_GBSchallenge		BCM_Taub									0	0
14GBSd0	BCM		2/9/22	2022FebB		HVM	BCM_HVM		6371.571429								March152022	f	vaginal community	vaginal tract	vaginal swab	HVM_vaginal tract		14b									0	GBS														HMB_GBSchallenge		BCM_Taub									0	0
15GBSd0	BCM		2/9/22	2022FebB		HVM	BCM_HVM		6371.571429								March152022	f	vaginal community	vaginal tract	vaginal swab	HVM_vaginal tract		15b									0	GBS														HMB_GBSchallenge		BCM_Taub									0	0
16GBSd0	BCM		2/9/22	2022FebB		HVM	BCM_HVM		6371.571429								March152022	f	vaginal community	vaginal tract	vaginal swab	HVM_vaginal tract		16b									0	GBS														HMB_GBSchallenge		BCM_Taub									0	0
17GBSd0	BCM		2/9/22	2022FebB		Conventional	BCM_Conventional		6371.571429								March152022	f	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		17b									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									0	0
18GBSd0	BCM		2/9/22	2022FebB		Conventional	BCM_Conventional		6371.571429								March152022	f	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		18b									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									0	0
19GBSd0	BCM		2/9/22	2022FebB		Conventional	BCM_Conventional		6371.571429								March152022	f	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		19b									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									0	0
20GBSd0	BCM		2/9/22	2022FebB		Conventional	BCM_Conventional		6371.571429								March152022	f	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		20b									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									0	0
21GBSd0	BCM		2/9/22	2022FebB		Conventional	BCM_Conventional		6371.571429								March152022	f	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		21b									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									0	0
22GBSd0	BCM		2/9/22	2022FebB		Conventional	BCM_Conventional		6371.571429								March152022	f	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		22b									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									0	0
23GBSd0	BCM		2/9/22	2022FebB		Conventional	BCM_Conventional		6371.571429								March152022	f	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		23b									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									0	0
24GBSd0	BCM		2/9/22	2022FebB		Conventional	BCM_Conventional		6371.571429								March152022	f	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		24b									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									0	0
25GBSd0	BCM		2/9/22	2022FebB		Conventional	BCM_Conventional		6371.571429								March152022	f	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		25b									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									0	0
26GBSd0	BCM		2/9/22	2022FebB		Conventional	BCM_Conventional		6371.571429								March152022	f	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		26b									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									0	0
27GBSd0	BCM		2/9/22	2022FebB		Conventional	BCM_Conventional		6371.571429								March152022	f	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		27b									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									0	0
28GBSd0	BCM		2/9/22	2022FebB		Conventional	BCM_Conventional		6371.571429								March152022	f	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		28b									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									0	0
BlankGBSd0	BCM		2/9/22	2022FebB					6371.571429								March152022	f	blank	blank	PBS swab	blank_blank											0	None														HMB_GBSchallenge		BCM_Taub									none	none
01GBSd1	BCM		2/10/22	2022FebB		HMB	BCM_HMB		6371.714286								March152022	f	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC3714	01b									1	GBS	1100000				Colonized							Colonized	High	HMB_GBSchallenge		BCM_Taub									2	II
02GBSd1	BCM		2/10/22	2022FebB		HMB	BCM_HMB		6371.714286								March152022	f	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC3715	02b									1	GBS	280000				Colonized							Colonized	Low	HMB_GBSchallenge		BCM_Taub									2	II
03GBSd1	BCM		2/10/22	2022FebB		HMB	BCM_HMB		6371.714286								March152022	f	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC3716	03b									1	GBS	5950000				Colonized							Clear	High	HMB_GBSchallenge		BCM_Taub									4	IV
04GBSd1	BCM		2/10/22	2022FebB		HMB	BCM_HMB		6371.714286								March152022	f	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC3721	04b									1	GBS	3550000				Colonized							Colonized	High	HMB_GBSchallenge		BCM_Taub									4	IV
